التاريخ,البيان,النوع,التصنيف,الطرف,المبلغ
2026-02-11,رواتب الموظفين,مصروف,رواتب,الموظفون,62000.0
2026-02-12,فاتورة خدمات صيانة,دخل,مبيعات خدمات,شركة الواحة القابضة,43175.09
2026-02-12,فاتورة خدمات صيانة,دخل,مبيعات خدمات,مجمع الرياض الطبي,7426.14
2026-02-13,فاتورة خدمات صيانة,دخل,مبيعات خدمات,شركة البناء الحديث,21000.16
2026-02-13,إيجار المقر,مصروف,إيجار,شركة العقارات,22000.0
2026-02-15,فاتورة خدمات صيانة,دخل,مبيعات خدمات,شركة الديار,3176.64
2026-02-19,مصاريف تشغيلية,مصروف,تشغيل,متنوع,9303.28
2026-02-20,فاتورة خدمات صيانة,دخل,مبيعات خدمات,شركة الواحة القابضة,42524.39
2026-02-21,فاتورة خدمات صيانة,دخل,مبيعات خدمات,شركة الديار,2997.69
2026-02-21,فاتورة خدمات صيانة,دخل,مبيعات خدمات,عميل نقدي,4003.23
2026-02-22,فاتورة خدمات صيانة,دخل,مبيعات خدمات,مؤسسة الصقر,6384.49
2026-02-24,فاتورة خدمات صيانة,دخل,مبيعات خدمات,شركة الديار,3100.62
2026-02-25,فاتورة خدمات صيانة,دخل,مبيعات خدمات,مؤسسة الفجر,2172.44
2026-02-26,فاتورة خدمات صيانة,دخل,مبيعات خدمات,مؤسسة الفجر,2514.73
2026-02-27,فاتورة خدمات صيانة,دخل,مبيعات خدمات,مجمع الرياض الطبي,7631.82
2026-03-01,فاتورة خدمات صيانة,دخل,مبيعات خدمات,عميل نقدي,4654.58
2026-03-01,مصاريف تشغيلية,مصروف,تشغيل,متنوع,9489.16
2026-03-03,فاتورة خدمات صيانة,دخل,مبيعات خدمات,مجمع الرياض الطبي,15163.21
2026-03-03,فاتورة خدمات صيانة,دخل,مبيعات خدمات,شركة الديار,3281.54
2026-03-04,إيجار المقر,مصروف,إيجار,شركة العقارات,22000.0
2026-03-05,فاتورة خدمات صيانة,دخل,مبيعات خدمات,مؤسسة النخيل التجارية,9750.05
2026-03-05,فاتورة خدمات صيانة,دخل,مبيعات خدمات,مؤسسة الصقر,13033.97
2026-03-08,فاتورة خدمات صيانة,دخل,مبيعات خدمات,شركة البناء الحديث,5974.09
2026-03-10,حملات إعلانية,مصروف,تسويق,منصات إعلانية,11000.0
2026-03-11,رواتب الموظفين,مصروف,رواتب,الموظفون,68000.0
2026-03-14,مشتريات مواد ومعدات,مصروف,مشتريات,موردون,55167.4
2026-03-16,فاتورة خدمات صيانة,دخل,مبيعات خدمات,شركة الواحة القابضة,34541.19
2026-03-18,فاتورة خدمات صيانة,دخل,مبيعات خدمات,مؤسسة النخيل التجارية,10089.95
2026-03-18,فاتورة خدمات صيانة,دخل,مبيعات خدمات,عميل نقدي,4236.68
2026-03-19,فاتورة خدمات صيانة,دخل,مبيعات خدمات,شركة البناء الحديث,5721.55
2026-03-19,فاتورة خدمات صيانة,دخل,مبيعات خدمات,شركة البناء الحديث,6027.75
2026-03-20,فاتورة خدمات صيانة,دخل,مبيعات خدمات,شركة الديار,3243.85
2026-03-21,فاتورة خدمات صيانة,دخل,مبيعات خدمات,شركة الواحة القابضة,36616.47
2026-03-21,فاتورة خدمات صيانة,دخل,مبيعات خدمات,مؤسسة الفجر,2083.31
2026-03-22,فاتورة خدمات صيانة,دخل,مبيعات خدمات,شركة الديار,3017.26
2026-03-22,فاتورة خدمات صيانة,دخل,مبيعات خدمات,مؤسسة الفجر,2388.33
2026-03-25,فاتورة خدمات صيانة,دخل,مبيعات خدمات,مؤسسة الفجر,2498.58
2026-04-01,فاتورة خدمات صيانة,دخل,مبيعات خدمات,مجمع الرياض الطبي,4973.05
2026-04-03,فاتورة خدمات صيانة,دخل,مبيعات خدمات,مؤسسة الصقر,6819.59
2026-04-06,إيجار المقر,مصروف,إيجار,شركة العقارات,22000.0
2026-04-07,فاتورة خدمات صيانة,دخل,مبيعات خدمات,مؤسسة النخيل التجارية,7600.77
2026-04-08,فاتورة خدمات صيانة,دخل,مبيعات خدمات,مؤسسة الصقر,5646.24
2026-04-09,حملات إعلانية,مصروف,تسويق,منصات إعلانية,12000.0
2026-04-12,فاتورة خدمات صيانة,دخل,مبيعات خدمات,مجمع الرياض الطبي,4638.69
2026-04-14,مصاريف تشغيلية,مصروف,تشغيل,متنوع,9514.47
2026-04-16,فاتورة خدمات صيانة,دخل,مبيعات خدمات,مؤسسة الفجر,6219.62
2026-04-17,فاتورة خدمات صيانة,دخل,مبيعات خدمات,شركة الواحة القابضة,24386.69
2026-04-17,فاتورة خدمات صيانة,دخل,مبيعات خدمات,شركة الواحة القابضة,28312.95
2026-04-17,مشتريات مواد ومعدات,مصروف,مشتريات,موردون,61715.98
2026-04-18,فاتورة خدمات صيانة,دخل,مبيعات خدمات,عميل نقدي,10004.71
2026-04-18,رواتب الموظفين,مصروف,رواتب,الموظفون,68000.0
2026-04-18,صيانة سيارات الشركة,مصروف,تشغيل,ورشة,5265.8
2026-04-20,فاتورة خدمات صيانة,دخل,مبيعات خدمات,مجمع الرياض الطبي,5909.13
2026-04-21,فاتورة خدمات صيانة,دخل,مبيعات خدمات,مؤسسة النخيل التجارية,7124.8
2026-04-25,فاتورة خدمات صيانة,دخل,مبيعات خدمات,مؤسسة النخيل التجارية,6793.54
2026-04-25,فاتورة خدمات صيانة,دخل,مبيعات خدمات,شركة البناء الحديث,19477.41
2026-04-27,فاتورة خدمات صيانة,دخل,مبيعات خدمات,شركة الديار,11230.51
2026-04-28,فاتورة خدمات صيانة,دخل,مبيعات خدمات,شركة الواحة القابضة,29499.44
2026-05-01,فاتورة خدمات صيانة,دخل,مبيعات خدمات,شركة البناء الحديث,19196.15
2026-05-02,فاتورة خدمات صيانة,دخل,مبيعات خدمات,مجمع الرياض الطبي,16253.99
2026-05-02,فاتورة خدمات صيانة,دخل,مبيعات خدمات,مؤسسة الصقر,10355.62
2026-05-04,فاتورة خدمات صيانة,دخل,مبيعات خدمات,مؤسسة الفجر,2203.47
2026-05-04,رواتب الموظفين,مصروف,رواتب,الموظفون,78000.0
2026-05-08,فاتورة خدمات صيانة,دخل,مبيعات خدمات,مؤسسة النخيل التجارية,7259.45
2026-05-08,فاتورة خدمات صيانة,دخل,مبيعات خدمات,شركة الديار,4443.41
2026-05-08,فاتورة خدمات صيانة,دخل,مبيعات خدمات,مؤسسة الفجر,2318.49
2026-05-10,فاتورة خدمات صيانة,دخل,مبيعات خدمات,شركة الواحة القابضة,23213.81
2026-05-11,فاتورة خدمات صيانة,دخل,مبيعات خدمات,مؤسسة النخيل التجارية,6758.25
2026-05-12,مشتريات مواد ومعدات,مصروف,مشتريات,موردون,57358.28
2026-05-14,حملات إعلانية,مصروف,تسويق,منصات إعلانية,28000.0
2026-05-15,فاتورة خدمات صيانة,دخل,مبيعات خدمات,شركة الواحة القابضة,26646.57
2026-05-15,مصاريف تشغيلية,مصروف,تشغيل,متنوع,9273.21
2026-05-16,فاتورة خدمات صيانة,دخل,مبيعات خدمات,شركة الديار,4761.07
2026-05-18,فاتورة خدمات صيانة,دخل,مبيعات خدمات,مؤسسة النخيل التجارية,6308.15
2026-05-22,فاتورة خدمات صيانة,دخل,مبيعات خدمات,شركة الواحة القابضة,24727.29
2026-05-22,إيجار المقر,مصروف,إيجار,شركة العقارات,22000.0
2026-05-24,فاتورة خدمات صيانة,دخل,مبيعات خدمات,عميل نقدي,8600.05
2026-05-26,فاتورة خدمات صيانة,دخل,مبيعات خدمات,مؤسسة الفجر,2460.21
2026-06-01,إيجار المقر,مصروف,إيجار,شركة العقارات,22000.0
2026-06-02,فاتورة خدمات صيانة,دخل,مبيعات خدمات,مؤسسة الصقر,6324.06
2026-06-03,فاتورة خدمات صيانة,دخل,مبيعات خدمات,مجمع الرياض الطبي,4939.19
2026-06-03,فاتورة خدمات صيانة,دخل,مبيعات خدمات,شركة الديار,3041.76
2026-06-04,فاتورة خدمات صيانة,دخل,مبيعات خدمات,شركة البناء الحديث,10672.84
2026-06-06,فاتورة خدمات صيانة,دخل,مبيعات خدمات,مؤسسة الفجر,3989.81
2026-06-07,فاتورة خدمات صيانة,دخل,مبيعات خدمات,شركة البناء الحديث,9051.8
2026-06-09,مشتريات مواد ومعدات,مصروف,مشتريات,موردون,63101.29
2026-06-13,فاتورة خدمات صيانة,دخل,مبيعات خدمات,مؤسسة الفجر,3254.28
2026-06-13,رواتب الموظفين,مصروف,رواتب,الموظفون,78000.0
2026-06-13,حملات إعلانية,مصروف,تسويق,منصات إعلانية,34000.0
2026-06-14,فاتورة خدمات صيانة,دخل,مبيعات خدمات,مجمع الرياض الطبي,5257.68
2026-06-14,صيانة سيارات الشركة,مصروف,تشغيل,ورشة,5089.77
2026-06-15,فاتورة خدمات صيانة,دخل,مبيعات خدمات,مجمع الرياض الطبي,4832.95
2026-06-16,فاتورة خدمات صيانة,دخل,مبيعات خدمات,عميل نقدي,8009.05
2026-06-21,فاتورة خدمات صيانة,دخل,مبيعات خدمات,شركة الواحة القابضة,84265.95
2026-06-24,فاتورة خدمات صيانة,دخل,مبيعات خدمات,مؤسسة النخيل التجارية,20089.77
2026-06-26,مصاريف تشغيلية,مصروف,تشغيل,متنوع,8292.02
2026-06-27,فاتورة خدمات صيانة,دخل,مبيعات خدمات,شركة الديار,4093.23
2026-06-28,فاتورة خدمات صيانة,دخل,مبيعات خدمات,مؤسسة الصقر,6805.69
2026-06-28,فاتورة خدمات صيانة,دخل,مبيعات خدمات,شركة الديار,4015.36
